"string_rna_class","centroid_x","centroid_y"
"+RIBO18S",18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588),NR_046235.1"
"+RIBO18S",1095.33333333,812.333333333
"+RIBO18S",18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588),NR_046235.1"
"+RIBO18S",18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588),NR_046235.1"
"+RIBO18S",1321.53333333,2628.26666667
"+RIBO18S",18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588),NR_046235.1"
"+RIBO18S",18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588),NR_046235.1"
"+RIBO18S",1884.4,1752.93333333
"+RIBO18S",18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588),NR_046235.1"
"+RIBO18S",18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588),NR_046235.1"
"+RIBO18S",2153.125,1229.5
"+RIBO18S",18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588),NR_046235.1"
"+RIBO18S",2182.18181818,299.090909091
"+RIBO18S",2391.5,42.8
"+RIBO18S",18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588),NR_046235.1"
"+RIBO18S",18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588),NR_046235.1"
"+RIBO18S",2878,3282
"+RIBO18S",2905,2834.2
"+RIBO18S",18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588),NR_046235.1"
"+RIBO18S",547.533333333,723.333333333
"+RIBO18S",762.75,2809
"+RIBO18S",1116.25,3226.91666667
"+RIBO18S",2210.8,2737.6
"+RIBO18S",NR_003286.2,18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588)"
"+RIBO18S",NR_003286.2,18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588)"
"+RIBO18S",NR_003286.2,18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588)"
"+RIBO18S",NR_003286.2,18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588)"
"-NM","418,378
"-NM",615,608.5
"+NR","4200,4105
"-NM",3221.55555556,2767.44444444
"+RIBO28S",1207,249.5
"+RIBO18S",716.093023256,247.046511628
"+RIBO18S",955.666666667,744.833333333
"+RIBO18S",739,1227.66666667
"+RIBO18S",NR_003286.2,18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588)"
"+RIBO18S",809.153846154,3036.35897436
"+RIBO18S",1274,365.307692308
"+RIBO18S",1564.75,3232
"+RIBO18S",NR_003286.2,18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588)"
"+RIBO18S",1836,1257.28571429
"+RIBO18S",NR_003286.2,18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588)"
"+RIBO18S",1943.92307692,2776.61538462
"+RIBO18S",NR_003286.2,18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588)"
"+RIBO18S",2126.5,2214.33333333
"+RIBO18S",NR_003286.2,18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588)"
"+RIBO18S",NR_003286.2,18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588)"
"+RIBO18S",NR_003286.2,18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588)"
"+RIBO18S",2727.23529412,1544.70588235
"+RIBO18S",NR_003286.2,18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588)"
"+RIBO18S",1565.375,1767.5
"+RIBO18S",18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588),NR_046235.1"
"+RIBO18S",18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588),NR_046235.1"
"+RIBO18S",2419.11111111,568.333333333
"+RIBO18S",18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588),NR_046235.1"
"+RIBO18S",18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588),NR_046235.1"
"+RIBO18S",NR_046235.1,NR_003286.2"
"+RIBO18S",NR_046235.1,NR_003286.2"
"+RIBO18S",1836.5,2894.08333333
"+RIBO18S",NR_046235.1,NR_003286.2"
"+RIBO18S",NR_046235.1,NR_003286.2"
"+RIBO18S",NR_046235.1,NR_003286.2"
"+RIBO18S",NR_003286.2,NR_046235.1"
"+RIBO18S",NR_003286.2,NR_046235.1"
"+NM",2675.5,966.5
"-NR",2312.23529412,2362.17647059
"+RIBO18S",2655.25,3085.25
"-NM",1330,1804.5
"+RIBO18S",1469,375.5
"+RIBO18S",1870.4,1438
"+RIBO18S",NR_046235.1,18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588)"
"+RIBO18S",2602.8,2943.4
"+RIBO18S",NR_003286.2,18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588)"
"+RIBO18S",1952.72222222,3009.55555556
"+RIBO18S",2295.25,1585
"+RIBO28S",2111.11111111,2629.22222222
"+RIBO18S",NR_046235.1,18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588)"
"+RIBO18S",402.833333333,505.166666667
"+RIBO18S",668.571428571,1252.42857143
"+RIBO18S",819.444444444,1173.55555556
"+RIBO18S",18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588),NR_046235.1"
"+RIBO18S",1127.25,1457.2
"+RIBO18S",18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588),NR_046235.1"
"+RIBO18S",1145.375,1788.8125
"+RIBO18S",1154.83333333,1171.83333333
"+RIBO18S",3814",3
"+RIBO18S",18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588),NR_046235.1"
"+RIBO18S",1570.6875,2908.84375
"+RIBO18S",1584.44444444,1545.44444444
"+RIBO18S",18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588),NR_046235.1"
"+RIBO18S",1646.14285714,538.142857143
"+RIBO18S",18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588),NR_046235.1"
"+RIBO18S",18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588),NR_046235.1"
"+RIBO18S",1851.27777778,3151.66666667
"+RIBO18S",1972.88888889,2695.11111111
"+RIBO18S",2052.15384615,2293.15384615
"+RIBO18S",2094.14814815,642.37037037
"+RIBO18S",18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588),NR_046235.1"
"+RIBO18S",18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588),NR_046235.1"
"+RIBO18S",2429.3125,2239.0625
"+RIBO18S",2434.04,3277.12
"+RIBO18S",2439.20588235,2158.64705882
"+RIBO18S",2447,998
"+RIBO18S",2580,2479.46153846
"+RIBO18S",18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588),NR_046235.1"
"+RIBO18S",2637.48148148,332.62962963
"+RIBO18S",18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588),NR_046235.1"
"+RIBO18S",2708.875,973.125
"+RIBO18S",2787.11111111,770.333333333
"+RIBO18S",3048,850.833333333
"+RIBO18S",18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588),NR_046235.1"
"+RIBO18S",18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588),NR_046235.1"
"+RIBO18S",3201.5,2015.7
"+RIBO18S",18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588),NR_046235.1"
"+RIBO18S",18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588),NR_046235.1"
"+RIBO18S",18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588),NR_003286.2"
"+RIBO18S",205.029411765,808.117647059
"+RIBO18S",18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588),NR_003286.2"
"+RIBO18S",274.8,668.6
"+RIBO18S",460.4,1099.32307692
"+RIBO18S",18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588),NR_003286.2"
"+RIBO18S",18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588),NR_003286.2"
"+RIBO18S",703,1013
"+RIBO18S",18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588),NR_003286.2"
"+RIBO18S",18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588),NR_003286.2"
"+RIBO18S",18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588),NR_003286.2"
"+RIBO18S",18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588),NR_003286.2"
"+RIBO18S",18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588),NR_003286.2"
"+RIBO18S",18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588),NR_003286.2"
"+RIBO18S",18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588),NR_003286.2"
"+RIBO18S",18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588),NR_003286.2"
"+RIBO18S",18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588),NR_003286.2"
"+RIBO18S",1243,1887.33333333
"+RIBO18S",18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588),NR_003286.2"
"+RIBO18S",18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588),NR_003286.2"
"+RIBO18S",18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588),NR_003286.2"
"+RIBO18S",18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588),NR_003286.2"
"+RIBO18S",18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588),NR_003286.2"
"+RIBO18S",18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588),NR_003286.2"
"+RIBO18S",1906.75,2403.75
"+RIBO18S",18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588),NR_003286.2"
"+RIBO18S",18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588),NR_003286.2"
"+RIBO18S",18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588),NR_003286.2"
"+RIBO18S",18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588),NR_003286.2"
"+RIBO18S",18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588),NR_003286.2"
"+RIBO18S",18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588),NR_003286.2"
"+RIBO18S",18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588),NR_003286.2"
"+RIBO18S",18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588),NR_003286.2"
"+RIBO18S",2332.21428571,3029.5
"+RIBO18S",18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588),NR_003286.2"
"+RIBO18S",18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588),NR_003286.2"
"+RIBO18S",2373.5,2367
"+RIBO18S",2636.27586207,736.75862069
"+RIBO18S",18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588),NR_003286.2"
"+RIBO18S",2460.62162162,862.189189189
"+RIBO18S",18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588),NR_003286.2"
"+RIBO18S",18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588),NR_003286.2"
"+RIBO18S",18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588),NR_003286.2"
"+RIBO18S",18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588),NR_003286.2"
"+RIBO18S",18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588),NR_003286.2"
"+RIBO18S",18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588),NR_003286.2"
"+RIBO18S",18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588),NR_003286.2"
"+RIBO18S",18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588),NR_003286.2"
"+RIBO18S",18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588),NR_003286.2"
"+RIBO18S",18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588),NR_003286.2"
"+RIBO18S",18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588),NR_003286.2"
"+RIBO18S",18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588),NR_003286.2"
"+RIBO18S",18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588),NR_003286.2"
"+RIBO18S",18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588),NR_003286.2"
"+RIBO18S",18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588),NR_003286.2"
"+RIBO18S",18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588),NR_003286.2"
"+RIBO18S",18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588),NR_003286.2"
"+RIBO18S",277.333333333,569.777777778
"+RIBO18S",1199.81818182,881.454545455
"+RIBO18S",18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588),NR_003286.2"
"+RIBO18S",18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588),NR_003286.2"
"-NM",1774,1074.5
"-NM",905.018867925,2288.64150943
"+RIBO18S",1678.54545455,1420.81818182
"-NM","2202,2018
"-NM",2287,1427.8
"-NM",1907.76,606.04
"-NM",2529,2008.5
"-NM",1167,2400.5
"-NR",1806,1442.5
"-NM","5497,5452
"+NR",3170.5,3150.5
"+RIBO18S",1409.91666667,871.833333333
"+NM",2,5
"+NM",2446.5,1013
"-NM",2,0
"+RIBO18S",1370.5,2620
"+RIBO18S",2678.5,2301
"+RIBO18S",1035.16666667,423.166666667
"+NM",2485.75,2705.5
"+NM",2,1
"-NM",2,4
"-NM",2078.875,860.375
"-NM",623.5,394
"-NM",738.5,1972
"-NM",547.2,418.4
"+NM","656,1965
"+NR",1363,339.75
"+NR",2991.33333333,1347.66666667
"+RIBO18S",2871.91176471,2383.39705882
"-NM",1245,85.5
"-NM",1416.75,105
"-NM","NM_001278243.1,NM_001102421.2
"+NM",2494,1882.5
"+RIBO18S",813.1,1623.8
"+RIBO18S",1593.18181818,2774.45454545
"+NR",1867.5,1167.5
"+NM",544.5,131.5
"+RIBO18S",876.277777778,2697.55555556
"+NM",3203.5,3143
"+RIBO28S",NR_046235.1,NR_003287.2"
"+RIBO28S",NR_046235.1,NR_003287.2"
"+RIBO28S",814.5,1224.5
"+RIBO28S",937.166666667,418.666666667
"+RIBO28S",1372.16666667,815.666666667
"+RIBO28S",NR_046235.1,NR_003287.2"
"+RIBO28S",1746.77777778,837.888888889
"+RIBO28S",2022.42857143,3184.28571429
"+RIBO28S",NR_046235.1,NR_003287.2"
"+RIBO28S",NR_046235.1,NR_003287.2"
"+RIBO28S",NR_046235.1,NR_003287.2"
"+RIBO28S",2468.96875,2579.15625
"+RIBO28S",2476.71428571,2520.35714286
"+RIBO28S",2551.08333333,656.25
"+RIBO28S",NR_046235.1,NR_003287.2"
"+RIBO28S",2707.875,1933.125
"+RIBO28S",2760.47368421,964.210526316
"+RIBO28S",NR_046235.1,NR_003287.2"
"+RIBO28S",NR_046235.1,NR_003287.2"
"+RIBO28S",2124.8,2359.9
"+RIBO28S",28S_gi|124517661|ref|NR_003287.1|_Homo_sapiens_28S_ribosomal_RNA_(LOC100008589),NR_046235.1"
"+RIBO28S",NR_046235.1,28S_gi|124517661|ref|NR_003287.1|_Homo_sapiens_28S_ribosomal_RNA_(LOC100008589)"
"+RIBO28S",1427.63333333,3001.7
"+RIBO28S",NR_003287.2,NR_046235.1"
"+RIBO28S",1372.5,1642.125
"+RIBO28S",1515.09090909,1199.36363636
"+RIBO28S",NR_003287.2,NR_046235.1"
"+RIBO28S",1750.18421053,3141.57894737
"+RIBO28S",3193.23529412,2387.05882353
"+RIBO28S",28S_gi|124517661|ref|NR_003287.1|_Homo_sapiens_28S_ribosomal_RNA_(LOC100008589),NR_003287.2"
"+RIBO28S",881.03030303,1991.72727273
"+RIBO28S",28S_gi|124517661|ref|NR_003287.1|_Homo_sapiens_28S_ribosomal_RNA_(LOC100008589),NR_003287.2"
"+RIBO28S",28S_gi|124517661|ref|NR_003287.1|_Homo_sapiens_28S_ribosomal_RNA_(LOC100008589),NR_003287.2"
"+RIBO28S",28S_gi|124517661|ref|NR_003287.1|_Homo_sapiens_28S_ribosomal_RNA_(LOC100008589),NR_003287.2"
"+RIBO28S",28S_gi|124517661|ref|NR_003287.1|_Homo_sapiens_28S_ribosomal_RNA_(LOC100008589),NR_003287.2"
"+RIBO18S",2464.75,893
"+RIBO28S",NR_046235.1,NR_003287.2"
"+RIBO28S",815.625,1588.5
"+RIBO28S",NR_046235.1,NR_003287.2"
"+RIBO28S",NR_046235.1,NR_003287.2"
"+RIBO28S",1472.44444444,1266.88888889
"+RIBO28S",NR_046235.1,NR_003287.2"
"+RIBO28S",NR_046235.1,NR_003287.2"
"+RIBO28S",NR_046235.1,NR_003287.2"
"+RIBO28S",NR_046235.1,NR_003287.2"
"+RIBO28S",2691.8,2669.33333333
"+RIBO28S",NR_046235.1,NR_003287.2"
"+RIBO28S",NR_046235.1,NR_003287.2"
"+NM",3188.5,3133
"-NR,-,-
"+NM",1502,1064
"+NM",2949,1582.66666667
"+NM",3182.5,456
"+NM",529,711.5
"+NM","4742,4651
"+NM",1639,3252.5
"-NR",2283.96969697,2186.27272727
"+NR","1,1"
"+NR","1,1"
"+NR","2,2"
"+NM",721.05,990.1
"-NM",2,1
"-NM",1973.33333333,2216.33333333
"+RIBO18S",NR_003286.2,NR_046235.1"
"+RIBO18S",18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588),NR_003286.2"
"+RIBO18S",NR_003286.2,18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588)"
"+RIBO18S",NR_003286.2,18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588)"
"+RIBO18S",NR_003286.2,18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588)"
"+RIBO18S",18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588),NR_003286.2"
"+RIBO18S",1494.85714286,2349.92857143
"+RIBO18S",18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588),NR_003286.2"
"+RIBO18S",18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588),NR_003286.2"
"+RIBO18S",18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588),NR_003286.2"
"+RIBO18S",18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588),NR_003286.2"
"+RIBO18S",NR_003286.2,18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588)"
"+RIBO18S",2127.875,915.375
"+RIBO18S",NR_003286.2,18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588)"
"+RIBO18S",2804.66666667,784.666666667
"+RIBO18S",2835.66666667,2707.33333333
"+RIBO18S",NR_003286.2,18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588)"
"+RIBO18S",3260.34615385,2151.92307692
"+RIBO18S",811.8,1077.1
"+RIBO18S",1193.57894737,1060.92105263
"+RIBO18S",1584.18181818,1873.18181818
"+RIBO18S",2108.8125,2051.8125
"+RIBO18S",NR_003286.2,NR_046235.1"
"+RIBO18S",NR_003286.2,NR_046235.1"
"+RIBO18S",2075.22222222,1244.88888889
"-NM",1117.33333333,1398
"+NM",NM_001144769.2,NM_001144770.1"
"+NR",2155.5,3027.5
"+RIBO28S",1498.5,2527.5
"-NM",2203.5,68.1666666667
"+NM",2467.5,2714
"-NM",978,2070.15384615
"+RIBO28S",733.333333333,227.666666667
"+NR",2322.5,1426.5
"+RIBO18S",2011.2,395.5
"-NM",2656.66666667,744.666666667
"-NR",934.714285714,1504.57142857
"-NM",4,0
"-NM","782,869
"+NM",2,3
"-NM",2,2
"-NM",315.666666667,983.333333333
"-NM",2206.33333333,2896.66666667
"+RIBO28S",2105.73333333,1592.93333333
"+NR",697,515
"+NR",2459.85714286,705.642857143
"+NR",3253.4,2474.8
"+NM",NM_001258276.1,NM_001258278.1"
"+NM,PTMA","+
"+NR",2648.71428571,165.428571429
"+NM",+,+
"-NM",3069.57142857,318.714285714
"+RIBO12S",1.765309,2365.66666667
"+NM,NM_006216.3,NR_073116.1
"+NM",14,0
"+RIBO16S",1.620952,1599.23076923
"-NM",861.5,437
"+NM",1721.5,3025
"+NM",2424.33333333,2638.66666667
"+NM","1584,1767
"+NM",2532.5,2649
"+RIBO18S",3045,2527
"+RIBO28S",3000.5,3231.7826087
"+RIBO18S",NR_003286.2,NR_046235.1"
"+NM",1355,2003.5
"-NM",2,1
"+RIBO28S",2386.94117647,2957.82352941
"+NM","1891,1894
"+NM,11581",2
"+NM",767.411764706,2884.23529412
"-NM",2229.28571429,3088.85714286
"-NM","7283,7357
"+NM","1695,1411
"-NM",2,2
"+NR",2239,163.428571429
"+NM",1790,2719
"+NM",3171.5,2527
"-NR",1437,1663
"-NM",1925.5,2977
"+RIBO12S",1.816026,2215.45454545
"-NM",1408,2768
"+NR",789,309.571428571
"-NM",2,2
